Assemblage_Name	0-1-6967852	2-1-6339302	0-8773873-0	0-1-0	0-1-1	0-1-2	2-4-8257574	2-4-4672326	2-3197443-1304968	899587-1-3	3157919-4-1	5436190-1-3	2-137957-1	2-4-33461	2-2516-1	7587497-1-1	2-181819-3	5682494-0-1	2-9132684-1	2-1-1439566	2-1-670223	2-4-5863067	7568732-4-1	2-3436224-3	8577646-0-1	2-4-2162870	2-4-5618692	2-4769297-1	4217709-1-3	2-4444093-1	2-4-3082026	2-1901604-3	625468-4-1	2-4-3181015	3865324-0-1	2-7427778-3	8429666-0-1	402293-1-0	5034524-1-3	2-1-8867900	2-8466075-3	2-1-1346820	9606629-1-3	2-0-4318686	7957979-0-1	2-1-7552920	8218331-1-3	2-2629891-3	260853-1-3	2-1-3795215	5724626-0-1	3257754-1-3	7064578-1-3	2316217-1-3	2-1-7512839	9074238-1-1	7300608-0-1	2-1-414304	0-2399727-1	0-1-3488424	2-1-1363525	2-1-2901916	3819894-1-3	1324675-1-3	2-1195419-3	2-1-3275600	2-6830236-1	0-1-2203655	0-2013682-1	5299454-0-1	9502063-4-1	0-1218845-1	2-4-537881	0-1-2437780	0-1-5892297	1236238-1-3	2-4-9727722	4013770-1-3	2-4-7214621	0-1-2593127	2-7535583-3	9168511-1-3	4233305-1-3	2-0-9940813	1002342-1-1	2-4-7736453	2-0-907669	2-1-8737207	2-4-8924281	2-1-4514442	3539542-1-3	6832364-1-0	2-8313770-3	9574863-0-1	2-9370055-3	9122752-4-1	0-1-1593044	2-0-1284593	0-617570-0	2-2459427-1	2-4-1073659	1828217-0-1	2-6575568-3	3554753-1-3	3056730-1-0	2-4-3117317	2-4527130-3	2-2749348-3	4064146-4-1	8334413-0-1	2-273608-1	4269856-1-1	2-1-9659220	2-1-8112302	2-6338444-3	2-6254113-1	9573559-0-1	1365037-1-0	6847380-4-1	2-3197443-6931846	2-0-2767554	2-7885468-3	2-9529810-1	4856710-1-3	7476921-1-3	2-7264700-3	5563042-1-1	2819494-0-1	0-4256325-1	1581996-1-3	0-8443959-0	8449916-1-3	2-7761730-3	2-2454726-1	2840636-0-1	0-1-9116493	0-3579039-1	2-1-1595483	577208-1-3	2-5734324-3	4125541-1-0	3608704-1-3	0-2957096-1	2-1524648-3	2-9244438-3	2-9880763-3	557348-1-3	0-4828402-2	0-6445029-1	2-4-5166096	2-1-5637910	6073802-1-1	8285133-1-3	3915687-4-1	1859312-4-1	5868881-4-1	2-1-8819780	2-2731683-1	2-6049168-3	2-1-1424762	2-1-9573599	2-5363668-3	2-3801528-3	3564590-4-1	2-4748002-1	9772724-1-3	2-4-3310792	2-4-9783575	2-1-9734453	7362222-1-1	0-5502231-1	498981-4-1	2-1-1452027	2-1-2214654	2-3347581-1	8941376-1-3	2-6143322-1	2-2318489-3	0-7363645-0	2-1-4231247	2-2075125-3	7843765-1-3	7375541-1-1	2-7015506-3	2511247-1-3	6485206-1-3	9482874-1-0	2-8048008-3	7224377-1-3	0-7297349-0	2-6382176-3	935052-1-0	2-1-3	0-6034845-0	0-6696454-1	2-1-154016	3842128-4-1	1649215-1-3	6419026-1-3	2-1-582103	2-9497864-3	1849441-1-3	2-1-648188	2-4-6547590	4192815-1-0	0-7294360-1	2-7406890-1	5794028-1-0	2-1-3598466	9734117-4-1	2-1-452188	0-673578-1	0-1-7602082	3681843-1-3	0-1-6996629	2-1-3615803	2-1-9582004	2-6707871-1	2-2311272-3	2-6088540-1	7402162-1-3	2-5584961-3	0-829636-1	1942857-0-1	0-6391366-1	0-1900806-1	0-1-9495253	4859556-4-1	4312052-1-0	2-4-1	0-1-6702706	2-4-7350693	8096435-0-1	0-1-2374517	2-4-3689222	0-9938699-1	6238253-4-1	4931229-1-1	2-1-5965050	2-1-7015272	2-0-86385	0-2891987-0	0-1-7839562	9476389-0-1	0-1-3382354	2-1-8313486	2-1-2515764	0-1-2405365	2-6158187-1	2-3626377-1	0-1-2347632	0-4879662-0	2-0-6112798	3564590-1166060-1	9667337-1-3	0-1-2271366	2-0-1	2-1-7110234	1889990-1-1	2-4-4855755	0-4665705-0	8613584-1-3	1797048-1-3	0-1-9648162	2-8420327-3	2-795369-3	5051443-1-3	2-1-7713691	2-4790221-1	2-0-2959439	0-7093997-0	7244925-1-1	2-9185417-1	7387406-1-3	2-3009223-1	9709067-1-1	2-4-211640	2-1015180-3	2-1-2854795	2-4-488606	2-2369049-3	2334814-1-0	0-5181948-1	2-2857508-3	2-3077014-1	9837135-4-1	2-1-4503361	2151192-1-0	3780988-1-3	7135350-1-3	2-0-3756063	2174320-1-3	1797347-1-3	0-1-8191733	5908297-1-3	8404369-4-1	2-1-6272529	6061372-4-1	8678656-1-1	2-3614299-3	0-1-7717630	0-8109101-1	0-5563459-0	0-9289733-0	7142405-4-1	2-4-9453275	2-6201278-1	1520292-0-1	2-1-7716803	0-9787776-1	2946957-4-1	2577479-1-3	3685939-1-1	2-900781-1	2-1-6092593	2-1-6977532	7356070-1-3	0-5856506-0	2-4-3999333	2-0-3533132	2-9436411-3	5859925-4-1	9668717-1-1	0-1-787128	9358192-1-3	8810265-4-1	0-1-4623776	2-4-9206725	2-9047313-3	529638-1-1	5718649-1-3	0-1-7374645	2-8127510-3	5836780-1-3	1062496-1-1	2-4-1700720	2-0-9720491	2-5755002-3	2-1-8363986	9930245-1-3	8338287-1-0	0-1-4484908	6526286-0-1	8490379-1-0	4920221-4-1	2-5714745-1	2-7080940-3	0-1-1483488	2-1922173-3	2-4-2991233	4516801-0-1	2-1-1640805	2-4576736-1	0-1-5409228	2-1-7460390	2947686-1-3	2-1624281-1	2-1-7424038	0-8761822-1	2-4570025-1	2-3934571-1	2-420457-1	2-4-3779175	0-3826924-1	2-9298423-3	0-1-867798	2-0-6073107	2-9293054-3	2-635018-3	2-3214011-1	2-8183879-1	0-1182247-1	2-8071612-3	2-1-7497412	2-4-4790901	2-0-3027936	2-1-8683918	2-4-4538087	2-4-6000392	7110629-1-3	4058763-1-0	2-9317393-3	2-8777877-3	2512020-1-0	2-1-123631	0-192382-0	2-4-4462137	0-1-451385	0-9015100-0	2-7572652-1	2-1-4236253	2-1-7212722	2-6067402-3	2-9635859-1	2-5597098-1	5574056-1-3	2-0-8615680	2-6057877-3	9404246-1-1	6722513-1-3	4836429-0-1	0-7442904-0	2-9766419-3	2-1710347-1	2-1-8984423	0-1548869-1	0-4836013-0	3326860-1-0	4542987-1-3	2-3197443-3	0-7653856-1	2-8942128-3	2-4-9168432	2-506778-3	6778634-1-3	2-1-8807219	0-294567-1	2-1-9771955	1429536-0-1	3292480-1-3	2-1-5837624	2-0-2597448	2-5554954-1	8731182-1-3	2-4-6650709	0-1-9401163	2-4211749-3	0-4189553-1	2115010-0-1	0-8380956-1	2-1-7990216	4674979-1-1	0-1-6852900	2-1-463947	2-6480546-3	8352286-1-3	2-1-9575720	1676699-0-1	2-1-6969993	2-6564494-3	5188845-1-1	2-1546289-1	0-42609-0	0-4835609-1	2-7286550-3	9446064-1-3	2-4-7237925	2-214939-1	2-9430403-3	2-1458674-1	3912751-1-3	0-1-5988750	0-6994677-1	8004788-1-3	2-1-5934212	2-5152753-3	3411342-4-1	2-4627809-1	2-1-7443893	0-4770606-0	0-1-9914453	2-2627066-3	0-1-5339272	2-1952210-3	2-8408160-1	2-4-1977254	8151327-1-1	0-1-6467161	2-555200-1	3795468-1-1	2-1-3184929	0-1-9372466	6013278-4-1	4561730-1-3	2-1-9494208	2-4-944946	7750218-1-1	2-5787367-1	2-1-7491824	2-4047536-3	0-1-8133130	8322753-0-1	2-4-8547037	2-31574-3	0-8397676-1	2-3470605-1	2-4-7167736	2-2606856-1	2738029-1-0	9590292-1-0	2-0-3109976	0-1-371979	4617185-1-3	0-1247061-1	2-9026396-3	6645077-4-1
assemblage-42-15	0	0	0	13686	20884	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	0	0	166	0	0	1	0	15	0	0	0	0	0	0	0	34147	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	25852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1279	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	622	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-44-5	0	0	0	3199	9614	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	16182	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-37-19	0	0	0	4180	4971	1098	18	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9528	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-1	0	0	0	11374	11830	1145	43	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12409	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-47-2	0	0	0	4167	5169	1118	8	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9760	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-1	0	0	0	4266	4813	1015	23	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9627	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-24-4	0	0	0	4229	5085	956	11	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13623	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9553	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6052	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-8	0	0	0	3633	9504	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	19	0	0	0	0	0	0	0	0	0	15923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	15825	29261	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	47	0	2	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	1	0	37	0	0	27	0	58	0	0	0	0	0	0	0	61922	3	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	11341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	1	0	0	0	104	1010	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	2	0
assemblage-28-6	0	0	0	6284	7286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7409	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
